Arpabet,GeneralAmerican,Accent1,Accent2,KTSwitch,GhotiOrthography,GhotiWords
AA,ɑ,a,a,ɑ,oa,oa-as-in-broad;
AE,æ,ɛ,e,æ,a,a-as-in-bat;
AH,ʌ,ø,a,ʌ,u,u-as-in-fun;
AO,ɔ,o,o,ɔ,au,au-as-in-maul;
AW,aʊ,øy,au,aʊ,ao,ao-as-in-Tao;
AY,aɪ,eɪ,ai,aɪ,y,y-as-in-sky;
EH,ɛ,ɛ,e,ɛ,ea,ea-as-in-bread;
ER,ɝ,øɾ,a,ɝ,our,our-as-in-journal;
EY,eɪ,e,i,eɪ,eigh,eigh-as-in-neigh;
IH,ɪ,y,i,ɪ,o,o-as-in-women;
IY,i,i,i,i,oe,oe-as-in-coelum;
OW,oʊ,o,u,oʊ,eau,eau-as-in-bureau;
OY,ɔɪ,uɪ,ui,ɔɪ,eu,eu-as-in-Euler;
UH,ʊ,u,u,ʊ,oo,oo-as-in-book;
UW,u,y,u,u,ew,ew-as-in-new;
B,b,b,b,b,b,b-as-in-bed;
CH,tʃ,ʃ,ʃ,tʃ,t,t-as-in-overture;
D,d,d,d,g,d,d-as-in-dodo;
DH,ð,z,l,ɣ,th,th-as-in-the;
F,f,f,f,f,gh,gh-as-in-tough;
G,ɡ,g,g,d,g,g-as-in-girl;
HH,h,0,0,h,ch,ch-as-in-chutzpah;
JH,dʒ,ʒ,ʒ,dʒ,ge,ge-as-in-barge;
K,k,k,k,t,qu,qu-as-in-quinoa;
L,l,l,l,l,l,l-as-in-lamp;
M,m,m,m,m,mb,mb-as-in-lamb;
N,n,n,n,ŋ,n,n-as-in-nail;
NG,ŋ,ŋ,ŋ,n,ng,ng-as-in-sing;
P,p,p,p,p,ph,ph-as-in-shepherd;
R,ɹ,ɾ,ɾ,ɹ,wr,wr-as-in-write;
S,s,s,s,s,sw,sw-as-in-sword;
SH,ʃ,ʃ,ʃ,ʃ,ti,ti-as-in-motion;
T,t,t,t,k,phth,phth-as-in-phthalate;
TH,θ,s,s,x,th,th-as-in-throw;
V,v,v,v,v,w,w-as-in-Wittgenstein;
W,w,v,v,w,ou,ou-as-in-ouija;
Y,j,j,j,j,ll,ll-as-in-tortilla;
Z,z,z,z,z,ts,ts-as-in-tsar;
ZH,ʒ,ʒ,ʒ,ʒ,s,s-as-in-measure;
0,,,,,,
1,́,́,́,́,,
2,̀,̀,̀,̀,,
