Rank,Abbreviation,Constellation,Area (square degrees),Area (millisteradians),Percentage,RA,Dec,Quad
1,Hya ,Hydra ,1302.844,396.869,3.16%,11 36.73 ,−14 31.91 ,SQ2
2,Vir ,Virgo ,1294.428,394.305,3.14%,13 24.39 ,−04 09.51 ,SQ3
3,UMa ,Ursa Major ,1279.66,389.807,3.10%,11 18.76 ,+50 43.27 ,NQ2
4,Cet ,Cetus ,1231.411,375.109,2.99%,01 40.10 ,−07 10.76 ,SQ1
5,Her ,Hercules ,1225.148,373.201,2.97%,17 23.16 ,+27 29.93 ,NQ3
6,Eri ,Eridanus ,1137.919,346.63,2.76%,03 18.02 ,−28 45.37 ,SQ1
7,Peg ,Pegasus ,1120.794,341.413,2.72%,22 41.84 ,+19 27.98 ,NQ4
8,Dra ,Draco ,1082.952,329.886,2.63%,15 08.64 ,+67 00.40 ,NQ3
9,Cen ,Centaurus ,1060.422,323.023,2.57%,13 04.27 ,−47 20.72 ,SQ3
10,Aqr ,Aquarius ,979.854,298.481,2.38%,22 17.38 ,−10 47.35 ,SQ4
11,Oph ,Ophiuchus ,948.34,288.881,2.30%,17 23.69 ,−07 54.74 ,SQ3
12,Leo ,Leo ,946.964,288.462,2.30%,10 40.03 ,+13 08.32 ,NQ2
13,Boo ,Boötes ,906.831,276.237,2.20%,14 42.64 ,+31 12.16 ,NQ3
14,Psc ,Pisces ,889.417,270.932,2.16%,00 28.97 ,+13 41.23 ,NQ1
15,Sgr ,Sagittarius ,867.432,264.235,2.10%,19 05.94 ,−28 28.61 ,SQ4
16,Cyg ,Cygnus ,803.983,244.907,1.95%,20 35.28 ,+44 32.70 ,NQ4
17,Tau ,Taurus ,797.249,242.856,1.93%,04 42.13 ,+14 52.63 ,NQ1
18,Cam ,Camelopardalis ,756.828,230.543,1.83%,08 51.37 ,+69 22.89 ,NQ2
19,And ,Andromeda ,722.278,220.018,1.75%,00 48.46 ,+37 25.91 ,NQ1
20,Pup ,Puppis ,673.434,205.14,1.63%,07 15.48 ,−31 10.64 ,SQ2
21,Aur ,Auriga ,657.438,200.267,1.59%,06 04.42 ,+42 01.68 ,NQ2
22,Aql ,Aquila ,652.473,198.755,1.58%,19 40.02 ,+03 24.65 ,NQ4
23,Ser ,Serpens ,636.928,194.019,1.54%,16 57.04 ,+06 07.32 ,NQ3
24,Per ,Perseus ,614.997,187.339,1.49%,03 10.50 ,+45 00.79 ,NQ1
25,Cas ,Cassiopeia ,598.407,182.285,1.45%,01 19.16 ,+62 11.04 ,NQ1
26,Ori ,Orion ,594.12,180.979,1.44%,05 34.59 ,+05 56.94 ,NQ1
27,Cep ,Cepheus ,587.787,179.05,1.42%,02 32.64 ,+71 00.51 ,NQ4
28,Lyn ,Lynx ,545.386,166.134,1.32%,07 59.53 ,+47 28.00 ,NQ2
29,Lib ,Libra ,538.052,163.9,1.30%,15 11.96 ,−15 14.08 ,SQ3
30,Gem ,Gemini ,513.761,156.501,1.25%,07 04.24 ,+22 36.01 ,NQ2
31,Cnc ,Cancer ,505.872,154.097,1.23%,08 38.96 ,+19 48.35 ,NQ2
32,Vel ,Vela ,499.649,152.202,1.21%,09 34.64 ,−47 10.03 ,SQ2
33,Sco ,Scorpius ,496.783,151.329,1.20%,16 53.24 ,−27 01.89 ,SQ3
34,Car ,Carina ,494.184,150.537,1.20%,08 41.70 ,−63 13.16 ,SQ2
35,Mon ,Monoceros ,481.569,146.694,1.17%,07 03.63 ,+00 16.93 ,NQ2
36,Scl ,Sculptor ,474.764,144.621,1.15%,00 26.28 ,−32 05.30 ,SQ1
37,Phe ,Phoenix ,469.319,142.963,1.14%,00 55.91 ,−48 34.84 ,SQ1
