Name,full_source_list
Acid Betty ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants
Adore Delano ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants; https://en.wikipedia.org/wiki/List_of_drag_queens
Agnes of Gosh,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html; http://www.queermusicheritage.com/drag-names.html
Aja ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants; https://en.wikipedia.org/wiki/List_of_drag_queens
Akashia ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants
Akihiro Miwa ,https://en.wikipedia.org/wiki/List_of_drag_queens
Alaska ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants
Alaska Thunderfuck 5000 ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants; https://en.wikipedia.org/wiki/List_of_drag_queens
Alberta Clipper,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html
Alexis Mateo ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants; https://en.wikipedia.org/wiki/List_of_drag_queens
Alexis Michelle ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants
Alisa Summers ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants
Alyssa Edwards ,https://en.wikipedia.org/wiki/List_of_RuPaul%27s_Drag_Race_contestants; https://en.wikipedia.org/wiki/List_of_drag_queens
Amanda Buttfuck,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html
Amanda Chase,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html
Amanda Huginkiss,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html
Amanda Peon,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html
Amanda Playwith,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html; http://www.queermusicheritage.com/drag-names.html
Amanda Reckonwith,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html; http://www.queermusicheritage.com/drag-names.html
Amanda Stickmydickin,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html
Amber Alert,http://tillyscreams.blogspot.com/2008/01/canonical-list-of-drag-queen-names.html
Amber LeMay ,https://en.wikipedia.org/wiki/List_of_drag_queens
