memoizing neighbors
got new color (0, 255, 255, 255) at (0, 0)
got new color (0, 0, 0, 255) at (49, 140)
map size 90000 pixels
filling elevation for 18000 steps, plotting every None
step 0
step 1000
step 2000
step 3000
step 4000
step 5000
step 6000
step 7000
step 8000
step 9000
step 10000
step 11000
step 12000
step 13000
step 14000
step 15000
step 16000
step 17000
         1385756690 function calls (1385534453 primitive calls) in 666.268 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 92218282  125.258    0.000  125.258    0.000 ElevationGeneration.py:256(<setcomp>)
740444089  110.256    0.000  110.256    0.000 ElevationGeneration.py:461(<genexpr>)
 92218292   68.267    0.000  227.872    0.000 ElevationGeneration.py:242(get_neighbors)
 92143893   58.560    0.000  167.045    0.000 {built-in method builtins.any}
   229388   57.808    0.000  454.246    0.002 ElevationGeneration.py:461(<listcomp>)
    36000   45.924    0.001   82.867    0.002 ElevationGeneration.py:361(get_circle_around_point)
 92218292   34.346    0.000   34.346    0.000 ElevationGeneration.py:135(get_representative_pixel)
115028552   19.921    0.000   19.921    0.000 ElevationGeneration.py:178(is_valid_point)
    18000   16.535    0.001  657.063    0.037 ElevationGeneration.py:472(make_random_elevation_change)
    18000   15.590    0.001   15.590    0.001 ElevationGeneration.py:502(<listcomp>)
229388/18000   14.182    0.000  468.527    0.026 ElevationGeneration.py:457(get_distances_from_edge)
    58200   11.025    0.000   11.025    0.000 {method 'reduce' of 'numpy.ufunc' objects}
 17146448   10.588    0.000   15.839    0.000 ElevationGeneration.py:199(new_value_satisfies_condition)
    36000    9.477    0.000    9.477    0.000 ElevationGeneration.py:422(<setcomp>)
  4185172    7.643    0.000    7.643    0.000 ElevationGeneration.py:34(elevation_change_inverted_semicircle)
        1    6.772    6.772  663.835  663.835 ElevationGeneration.py:672(fill_elevations)
  4312638    6.333    0.000    6.333    0.000 ElevationGeneration.py:39(elevation_change_sinusoidal)
    28432    5.458    0.000    5.460    0.000 {built-in method numpy.array}
  2105940    5.003    0.000    7.539    0.000 ElevationGeneration.py:368(get_max_dy)
    18000    4.981    0.000   25.469    0.001 ElevationGeneration.py:554(<dictcomp>)
 16581296    4.617    0.000    4.617    0.000 ElevationGeneration.py:208(fill_position)
 17146448    3.200    0.000    3.200    0.000 ElevationGeneration.py:239(get_value_at_position)
  4303226    3.043    0.000    3.043    0.000 ElevationGeneration.py:19(elevation_change_parabolic)
 10839998    2.859    0.000    2.859    0.000 ElevationGeneration.py:856(<lambda>)
 17146448    2.708    0.000   20.487    0.000 ElevationGeneration.py:553(<lambda>)
  2177949    2.670    0.000    2.670    0.000 {built-in method builtins.round}
    36014    2.264    0.000    5.310    0.000 {built-in method builtins.sum}
  6306450    1.663    0.000    1.663    0.000 ElevationGeneration.py:857(<lambda>)
 17164448    1.530    0.000    1.530    0.000 ElevationGeneration.py:480(<genexpr>)
 17164448    1.516    0.000    1.516    0.000 ElevationGeneration.py:481(<genexpr>)
        1    1.096    1.096    1.169    1.169 ElevationGeneration.py:744(from_image)
  4345362    0.759    0.000    0.759    0.000 ElevationGeneration.py:24(elevation_change_linear)
 17239100    0.733    0.000    0.733    0.000 {built-in method builtins.callable}
    18624    0.503    0.000    0.503    0.000 {built-in method builtins.max}
    36424    0.385    0.000    0.385    0.000 {method 'normal' of 'numpy.random.mtrand.RandomState' objects}
    18000    0.369    0.000   16.839    0.001 ElevationGeneration.py:322(get_random_contiguous_region)
        1    0.237    0.237    0.382    0.382 ElevationGeneration.py:775(freeze_coastlines)
    18000    0.174    0.000    6.034    0.000 _methods.py:134(_mean)
    18000    0.147    0.000    6.180    0.000 fromnumeric.py:3153(mean)
    36782    0.125    0.000   10.938    0.000 fromnumeric.py:73(_wrapreduction)
        1    0.097    0.097    0.097    0.097 {built-in method _tkinter.create}
756262/755778    0.090    0.000    0.090    0.000 {built-in method builtins.len}
    54314    0.086    0.000    0.124    0.000 random.py:220(_randbelow)
    18000    0.083    0.000    0.089    0.000 _methods.py:50(_count_reduce_items)
        1    0.076    0.076    0.076    0.076 {built-in method matplotlib._png.write_png}
    36324    0.054    0.000    0.121    0.000 random.py:170(randrange)
57185/56572    0.051    0.000   17.257    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
      298    0.049    0.000    0.049    0.000 {built-in method marshal.loads}
       38    0.047    0.001    0.047    0.001 {method 'create_filled_contour' of 'matplotlib.QuadContourGenerator' objects}
    18109    0.046    0.000    5.593    0.000 fromnumeric.py:2504(amax)
    18000    0.043    0.000    6.254    0.000 <__array_function__ internals>:2(mean)
    18162    0.041    0.000    0.162    0.000 ElevationGeneration.py:561(get_random_point)
    18000    0.036    0.000    0.036    0.000 ElevationGeneration.py:330(<listcomp>)
    17990    0.035    0.000    0.093    0.000 random.py:250(choice)
   323473    0.034    0.000    0.034    0.000 {method 'items' of 'dict' objects}
    52205    0.034    0.000    0.034    0.000 {built-in method builtins.getattr}
    18715    0.033    0.000    5.479    0.000 _asarray.py:88(asanyarray)
    98090    0.030    0.000    0.030    0.000 {method 'getrandbits' of '_random.Random' objects}
    18110    0.029    0.000    5.416    0.000 fromnumeric.py:2629(amin)
       77    0.027    0.000    0.027    0.000 {method 'call' of '_tkinter.tkapp' objects}
    36782    0.026    0.000    0.026    0.000 fromnumeric.py:74(<dictcomp>)
    90000    0.025    0.000    0.029    0.000 ElevationGeneration.py:195(add_condition_at_position)
    18109    0.025    0.000    5.633    0.000 <__array_function__ internals>:2(amax)
67471/67466    0.023    0.000    0.025    0.000 {built-in method builtins.isinstance}
      317    0.022    0.000    0.022    0.000 {built-in method builtins.compile}
       41    0.021    0.001    0.025    0.001 {method 'draw_path_collection' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    18110    0.020    0.000    5.449    0.000 <__array_function__ internals>:2(amin)
1281/1226    0.019    0.000    0.053    0.000 {built-in method builtins.__build_class__}
       35    0.015    0.000    0.018    0.001 {built-in method _imp.create_dynamic}
    27942    0.015    0.000    0.015    0.000 {built-in method builtins.hasattr}
     3194    0.014    0.000    0.049    0.000 path.py:96(__init__)
    651/1    0.014    0.000  666.270  666.270 {built-in method builtins.exec}
    81594    0.010    0.000    0.010    0.000 {built-in method builtins.abs}
     3194    0.010    0.000    0.024    0.000 path.py:193(_update_values)
36841/36707    0.009    0.000    0.010    0.000 {built-in method builtins.issubclass}
    54314    0.008    0.000    0.008    0.000 {method 'bit_length' of 'int' objects}
       66    0.008    0.000    0.008    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     1029    0.007    0.000    0.007    0.000 {method 'sub' of '_sre.SRE_Pattern' objects}
    12807    0.007    0.000    0.007    0.000 __init__.py:870(__getitem__)
  504/208    0.007    0.000    0.018    0.000 sre_parse.py:491(_parse)
      680    0.006    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1215(find_spec)
    18000    0.006    0.000    0.006    0.000 fromnumeric.py:3149(_mean_dispatcher)
     1480    0.005    0.000    0.005    0.000 {built-in method posix.stat}
