!EXCLAMATION-POINT-1 eaquswqulumbeightiunpheunphth
"CLOSE-QUOTE-1 quleautsquoueauphth
"DOUBLE-QUOTE-1 dubulquoueauphth
"END-OF-QUOTE-1 eanduwquoueauphth
"END-QUOTE-1 eandquoueauphth
"IN-QUOTES-1 onquoueauphthsw
"QUOTE-1 quoueauphth
"UNQUOTE-1 unquoueauphth
#SHARP-SIGN-1 tioawrphswyn
%PERCENT-1 phoursweanphth
&AMPERSAND-1 ambphourswand
'BOUT-1 baophth
'CAUSE-1 quuts
'COURSE-1 quauwrsw
'CUSE-1 qullewts
'EM-1 umb
'END-INNER-QUOTE-1 eandonourquoueauphth
'END-QUOTE-1 eandquoueauphth
'FRISCO-1 ghwroswqueau
'GAIN-1 gean
'INNER-QUOTE-1 onourquoueauphth
'KAY-1 queigh
'M-1 umb
'N-1 un
'QUOTE-1 quoueauphth
'ROUND-1 wraond
'S-1 easw
'SINGLE-QUOTE-1 swonggulquoueauphth
'TIL-1 phthol
'TIS-1 phthots
'TWAS-1 phthouuts
(BEGIN-PARENS-1 bogonphoureants
(IN-PARENTHESES-1 onphoureanthuswoets
(LEFT-PAREN-1 leaghphthphourean
(OPEN-PARENTHESES-1 eauphunphoureanthuswoets
(PAREN-1 phourean
(PARENS-1 phoureants
(PARENTHESES-1 phoureanthuswoets
)CLOSE-PAREN-1 quleautsphourean
)CLOSE-PARENTHESES-1 quleautsphoureanthuswoets
)END-PAREN-1 eandphourean
)END-PARENS-1 eandphoureants
)END-PARENTHESES-1 eandphoureanthuswoets
)END-THE-PAREN-1 eandthuphourean
)PAREN-1 phourean
)PARENS-1 phoureants
)RIGHT-PAREN-1 wryphthphourean
)RIGHT-PAREN-2 wryphthpheawrun
)UN-PARENTHESES-1 unphoureanthuswoets
,COMMA-1 quoambu
-DASH-1 dati
-HYPHEN-1 chyghun
...ELLIPSIS-1 olophswosw
.DECIMAL-1 deaswumbul
.DOT-1 doaphth
.FULL-STOP-1 ghoolswphthoaph
.PERIOD-1 phowroeud
.POINT-1 pheunphth
/SLASH-1 swlati
