!EXCLAMATION-POINT-1 eksklomeyšonpoynt
"CLOSE-QUOTE-1 klowzkwowt
"DOUBLE-QUOTE-1 dobolkwowt
"END-OF-QUOTE-1 endovkwowt
"END-QUOTE-1 endkwowt
"IN-QUOTES-1 inkwowts
"QUOTE-1 kwowt
"UNQUOTE-1 onkwowt
#SHARP-SIGN-1 šárpsayn
%PERCENT-1 porsent
&AMPERSAND-1 amporsand
'BOUT-1 bawt
'CAUSE-1 koz
'COURSE-1 kárs
'CUSE-1 kyúz
'EM-1 om
'END-INNER-QUOTE-1 endinorkwowt
'END-QUOTE-1 endkwowt
'FRISCO-1 friskow
'GAIN-1 gen
'INNER-QUOTE-1 inorkwowt
'KAY-1 key
'M-1 om
'N-1 on
'QUOTE-1 kwowt
'ROUND-1 rawnd
'S-1 es
'SINGLE-QUOTE-1 siňgolkwowt
'TIL-1 til
'TIS-1 tiz
'TWAS-1 twoz
(BEGIN-PARENS-1 biginporenz
(IN-PARENTHESES-1 inporençosíz
(LEFT-PAREN-1 leftporen
(OPEN-PARENTHESES-1 owponporençosíz
(PAREN-1 poren
(PARENS-1 porenz
(PARENTHESES-1 porençosíz
)CLOSE-PAREN-1 klowzporen
)CLOSE-PARENTHESES-1 klowzporençosíz
)END-PAREN-1 endporen
)END-PARENS-1 endporenz
)END-PARENTHESES-1 endporençosíz
)END-THE-PAREN-1 endcoporen
)PAREN-1 poren
)PARENS-1 porenz
)RIGHT-PAREN-1 raytporen
)RIGHT-PAREN-2 raytperon
)UN-PARENTHESES-1 onporençosíz
,COMMA-1 kámo
-DASH-1 daš
-HYPHEN-1 hayfon
...ELLIPSIS-1 ilipsis
.DECIMAL-1 desomol
.DOT-1 dát
.FULL-STOP-1 fulstáp
.PERIOD-1 piríod
.POINT-1 poynt
/SLASH-1 slaš
:COLON-1 kowlon
;SEMI-COLON-1 semíkowlon
;SEMI-COLON-2 semikowlon
?QUESTION-MARK-1 kwesčonmárk
A'S-1 eyz
A-1 o
A-2 ey
A.'S-1 eyz
A.-1 ey
A.S-1 eyz
A42128-1 eyfártúwontúeyt
AAA-1 tripoley
AABERG-1 áborg
AACHEN-1 ákon
AACHENER-1 ákonor
AAKER-1 ákor
AALSETH-1 álseç
AAMODT-1 ámot
AANCOR-1 ánkár
AARDEMA-1 árdemo
AARDVARK-1 árdvárk
AARON'S-1 eronz
AARON-1 eron
AARONS-1 eronz
AARONSON'S-1 eronsonz
AARONSON'S-2 áronsonz
AARONSON-1 eronson
AARONSON-2 áronson
AARTI-1 ártí
AASE-1 ás
AASEN-1 áson
AB-1 ab
AB-2 eybí
ABABA-1 obábo
ABABA-2 ábobo
ABACHA-1 aboko
ABACK-1 obak
ABACO-1 abokow
ABACUS-1 abokos
ABAD-1 obád
ABADAKA-1 obadoko
ABADI-1 obadí
ABADIE-1 obadí
ABAIR-1 ober
ABALKIN-1 obálkin
ABALONE-1 abolowní
ABALOS-1 ábálowz
ABANDON-1 obandon
ABANDONED-1 obandond
ABANDONING-1 obandoniň
ABANDONMENT-1 obandonmont
ABANDONMENTS-1 obandonmonts
ABANDONS-1 obandonz
ABANTO-1 obantow
ABARCA-1 obárko
ABARE-1 ábárí
ABASCAL-1 aboskol
ABASH-1 obaš
ABASHED-1 obašt
ABATE-1 obeyt
ABATED-1 obeytid
ABATEMENT-1 obeytmont
ABATEMENTS-1 obeytmonts
ABATES-1 obeyts
ABATING-1 obeytiň
ABBA-1 abo
ABBADO-1 obádow
ABBAS-1 obás
ABBASI-1 ábásí
ABBATE-1 ábeyt
ABBATIELLO-1 ábátíelow
ABBE-1 abí
ABBE-2 abey
ABBENHAUS-1 abonhaws
ABBETT-1 obet
ABBEVILLE-1 abvil
ABBEY'S-1 abíz
ABBEY-1 abí
ABBIE-1 abí
ABBITT-1 abit
