	Afroasiatic	Ainu	Amharic	Athabaskan	Austroasiatic	Austronesian	Bantu	Basque	Celtic	Dravidian	Finnic	Germanic	Indo-European	Iroquoian	Kartvelian	Kusunda	Malagasy	Mapudungun	Mayan	Mongolic	Munda	Na-Dene	Naduhup	Nakh-Dagestanian	Nilo-Saharan	North Germanic	Oto-Manguean	Pama-Nyungan	Panoan	Polynesian	Quechuan	Rma	Romance	Salishan	Sami	Semitic	Siouan	Sinitic	Slavic	Tai-Kadai	Trans-Himalayan	Trans-New Guinea	Tupian	Turkic	Uralic	Uto-Aztecan	Yeniseian
Afghanistan	d	d								d			x							x				d		 	d									d					d						
Alaska		d		x														d			d	x		d										d			d		d							d	d
Albania													x																				d						d					d	d		
Argentina																		d					d						d		x																
Armenia	d												x											d												d			d						d		
Australia					d	d				d					d		d	d			d							x		d												d					
Austria												x	x													d																					
Azerbaijan	d		d										x											x												d								x			
Bhutan		d			d																																	d			x						
Bolivia		d																d			d								x		x												x				
Brazil										d											d		x				d		x		d	d											x				
Canada				x										x								x												x			x									d	d
Chile						d										d		x					d				d		d		d		d										d				
China					x	d							x			d		d		x									d			x						x		x	x			x	d		
Colombia																							x								x																
Czechia													x																				d						x								
El Salvador																			d								d																			x	
Estonia											x	d	d													d									d										x		
Ethiopia	x	d	x													d		d							x											x											
Finland											x	x	x								d														x									d	x		
France								x	x			x	x																				x														
Georgia		d						d				d	x		x					d				x															d						d		
Germany											d	x	x																				d		d				x								
Ghana							d																		d																						
Greece												d	x		d																					d											
Guatemala																			x								d				d															d	
Hawaii					d	x																																									
Hungary										d	d		d							d																			d					d	x		
Iceland									d			x	x													x									d										d		
India	d				x	d				x			x				d	d		d	x		d				d	d				d				d		d		x	x						
Indonesia						x				d			d				d						d					d		d								d		d	d	x					
Iran	x												x																d							x								x			d
Ireland									x			x	x																				d														
Italy									d			x	x																				x														
Japan		x			d	d																																d			d			d			
Kenya							x																		x																						
Kyrgyzstan															d																													x			
Madagascar	d					x				d							x	d												d											d						
Malaysia					x	x				d																			d	d																	d
Mexico				d										d					x			d	d				x					d					d						d			x	d
Mongolia																				x	d																		d		d				d		
Myanmar		d			x	d				d					d								d															d		x	x						
Nepal													x			x																								d	x						d
New Zealand						x																						d														d					
Norway											x	x	x			d										x									x										x		
Pakistan		d			d			d		x			x																							d											
Panama																															d																
Papua New Guinea																												d												d		x					
Paraguay																																											x				
Peru				d											d							d					d		x		x	d															
Philippines		d				x											d						d					d		d										d	d	d					
Poland											d	x	x													d							d						x								
Portugal								d					x																				x						d								
Russia		x		d							x	d	x	d				d		x		d		x		d							d	d	x				x					x	x		x
Samoa						x																								x																	
Saudi Arabia	x		d											d		d																				x								d			
Slovakia													x																				d						x								
Somalia	x						d																																								
South Africa							x																		d																						d
South Korea																					d								d									d			d						
Spain	d							x	d			d	x								d												x			d											
Sri Lanka			d			d				x			x				d						d																								
Sudan							d																		x									d													d
Sweden											x	x	x													x									x				d						x		
Taiwan					d	x				d																														d	x						
Tanzania							x																		x																						
Thailand					x	d				d			d					d																				d		x	x						
Tonga						x										d														x																	
Turkey	x		d										x		x					d	d		d	d									d			x								x	d		
Ukraine												d	x		d					d				d		d													x						d		
United Kingdom									x			x	x																				d														
United States (48)		d		x										x			d		d			x					d			x				x			x									x	
Vietnam					x	d				d				d		d	d												d									d		x	d						
