0:7812,8298,8784,9270,9756
1:9269,8783,8297,10241,9755
2:2562,2563,2564,8055,8419
3:2565,2566,2567,8662,8540
4:2568,2569,2570,8541,8905
5:2571,2572,2573,9148,9026
6:2574,2575,2576,9027,9391
7:2577,2578,2579,9634,9512
8:2580,2581,2582,9513,9877
9:2583,2584,2585,10120,9998
10:2586,2587,2588,9999,7933
11:2589,2590,2591,8176,8054
12:2592,2593,2594,7002,8379,8338
13:2595,2596,2597,7974,7042,7892
14:2598,2599,2600,8136,8095,7082
15:2601,2602,2603,7083,8500,8459
16:2604,2605,2606,8217,7123,8135
17:2607,2608,2609,8743,8702,7163
18:2610,2611,2612,7164,8865,8824
19:2613,2614,2615,8460,7204,8378
20:2616,2617,2618,8622,8581,7244
21:2619,2620,2621,7245,8986,8945
22:2622,2623,2624,8703,7285,8621
23:2625,2626,2627,9229,9188,7325
24:2628,2629,2630,7326,9351,9310
25:2631,2632,2633,8946,7366,8864
26:2634,2635,2636,9108,9067,7406
27:2637,2638,2639,7407,9472,9431
28:2640,2641,2642,9189,7447,9107
29:2643,2644,2645,9715,9674,7487
30:2646,2647,2648,7488,9837,9796
31:2649,2650,2651,9432,7528,9350
32:2652,2653,2654,9594,9553,7568
33:2655,2656,2657,7569,9958,9917
34:2658,2659,2660,9675,7609,9593
35:2661,2662,2663,10201,10160,7649
36:2664,2665,2666,7650,7893,7852
37:2667,2668,2669,9918,7690,9836
38:2670,2671,2672,10080,10039,7730
39:2673,2674,2675,7731,8014,7973
40:2676,2677,2678,10161,7771,10079
41:2679,2680,2681,8257,8216,7811
42:2682,2683,2684,5922,8406,8392
43:2685,2686,2687,7056,5935,7028
44:2688,2689,2690,8082,8068,5948
45:2691,2692,2693,5949,8527,8513
46:2694,2695,2696,7137,5962,7109
47:2697,2698,2699,8689,8675,5975
48:2700,2701,2702,5976,8892,8878
49:2703,2704,2705,7218,5989,7190
50:2706,2707,2708,8568,8554,6002
51:2709,2710,2711,6003,9013,8999
52:2712,2713,2714,7299,6016,7271
53:2715,2716,2717,9175,9161,6029
54:2718,2719,2720,6030,9378,9364
55:2721,2722,2723,7380,6043,7352
56:2724,2725,2726,9054,9040,6056
57:2727,2728,2729,6057,9499,9485
58:2730,2731,2732,7461,6070,7433
59:2733,2734,2735,9661,9647,6083
60:2736,2737,2738,6084,9864,9850
61:2739,2740,2741,7542,6097,7514
62:2742,2743,2744,9540,9526,6110
63:2745,2746,2747,6111,9985,9971
64:2748,2749,2750,7623,6124,7595
65:2751,2752,2753,10147,10133,6137
66:2754,2755,2756,6138,7920,7906
67:2757,2758,2759,7704,6151,7676
68:2760,2761,2762,10026,10012,6164
69:2763,2764,2765,6165,8041,8027
70:2766,2767,2768,7785,6178,7757
71:2769,2770,2771,8203,8189,6191
72:2772,2773,2774,6192,8325,8311
73:2775,2776,2777,7866,6205,7838
74:2778,2779,2780,7029,7015,6218
75:2781,2782,2783,6219,7879,7865
76:2784,2785,2786,7947,6232,7919
77:2787,2788,2789,8001,7987,6245
78:2790,2791,2792,6246,7069,7055
79:2793,2794,2795,8028,6259,8000
80:2796,2797,2798,8163,8149,6272
81:2799,2800,2801,6273,8446,8432
82:2802,2803,2804,8109,6286,8081
83:2805,2806,2807,7110,7096,6299
84:2808,2809,2810,6300,8122,8108
85:2811,2812,2813,8190,6313,8162
86:2814,2815,2816,8244,8230,6326
87:2817,2818,2819,6327,7150,7136
88:2820,2821,2822,8271,6340,8243
89:2823,2824,2825,8770,8756,6353
90:2826,2827,2828,6354,8811,8797
91:2829,2830,2831,8352,6367,8324
92:2832,2833,2834,7191,7177,6380
93:2835,2836,2837,6381,8365,8351
94:2838,2839,2840,8433,6394,8405
95:2841,2842,2843,8487,8473,6407
96:2844,2845,2846,6408,7231,7217
97:2847,2848,2849,8514,6421,8486
98:2850,2851,2852,8649,8635,6434
99:2853,2854,2855,6435,8932,8918
100:2856,2857,2858,8595,6448,8567
101:2859,2860,2861,7272,7258,6461
102:2862,2863,2864,6462,8608,8594
103:2865,2866,2867,8676,6475,8648
104:2868,2869,2870,8730,8716,6488
105:2871,2872,2873,6489,7312,7298
106:2874,2875,2876,8757,6502,8729
107:2877,2878,2879,9256,9242,6515
108:2880,2881,2882,6516,9297,9283
109:2883,2884,2885,8838,6529,8810
110:2886,2887,2888,7353,7339,6542
111:2889,2890,2891,6543,8851,8837
112:2892,2893,2894,8919,6556,8891
113:2895,2896,2897,8973,8959,6569
114:2898,2899,2900,6570,7393,7379
115:2901,2902,2903,9000,6583,8972
116:2904,2905,2906,9135,9121,6596
117:2907,2908,2909,6597,9418,9404
118:2910,2911,2912,9081,6610,9053
119:2913,2914,2915,7434,7420,6623
120:2916,2917,2918,6624,9094,9080
121:2919,2920,2921,9162,6637,9134
122:2922,2923,2924,9216,9202,6650
123:2925,2926,2927,6651,7474,7460
124:2928,2929,2930,9243,6664,9215
125:2931,2932,2933,9742,9728,6677
126:2934,2935,2936,6678,9783,9769
127:2937,2938,2939,9324,6691,9296
128:2940,2941,2942,7515,7501,6704
129:2943,2944,2945,6705,9337,9323
130:2946,2947,2948,9405,6718,9377
131:2949,2950,2951,9459,9445,6731
132:2952,2953,2954,6732,7555,7541
133:2955,2956,2957,9486,6745,9458
134:2958,2959,2960,9621,9607,6758
135:2961,2962,2963,6759,9904,9890
136:2964,2965,2966,9567,6772,9539
137:2967,2968,2969,7596,7582,6785
138:2970,2971,2972,6786,9580,9566
139:2973,2974,2975,9648,6799,9620
140:2976,2977,2978,9702,9688,6812
141:2979,2980,2981,6813,7636,7622
142:2982,2983,2984,9729,6826,9701
143:2985,2986,2987,10228,10214,6839
144:2988,2989,2990,6840,7839,7825
145:2991,2992,2993,9810,6853,9782
146:2994,2995,2996,7677,7663,6866
147:2997,2998,2999,6867,9823,9809
148:3000,3001,3002,9891,6880,9863
