
-- test_adjacency_recursive p#642 i=5
         452253 function calls (445756 primitive calls) in 0.438 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      318    0.046    0.000    0.046    0.000 {built-in method builtins.compile}
      269    0.046    0.000    0.046    0.000 {built-in method marshal.loads}
    31/30    0.038    0.001    0.042    0.001 {built-in method _imp.create_dynamic}
     2672    0.022    0.000    0.038    0.000 inspect.py:625(cleandoc)
 1057/937    0.016    0.000    0.085    0.000 {built-in method builtins.__build_class__}
  430/176    0.007    0.000    0.020    0.000 sre_parse.py:493(_parse)
     1341    0.005    0.000    0.005    0.000 {built-in method posix.stat}
      575    0.005    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
67431/66534    0.005    0.000    0.005    0.000 {built-in method builtins.len}
      661    0.005    0.000    0.013    0.000 inspect.py:2124(_signature_from_function)
    23305    0.004    0.000    0.004    0.000 {built-in method builtins.min}
    32881    0.004    0.000    0.005    0.000 {built-in method builtins.isinstance}
    12987    0.004    0.000    0.004    0.000 {built-in method builtins.getattr}
      271    0.004    0.000    0.004    0.000 {built-in method io.open_code}
  846/164    0.004    0.000    0.008    0.000 sre_compile.py:71(_compile)
      270    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
     6404    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
    619/1    0.003    0.000    0.439    0.439 {built-in method builtins.exec}
 1007/327    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
       28    0.003    0.000    0.016    0.001 __init__.py:785(_rc_params_in_file)
    31638    0.003    0.000    0.003    0.000 {method 'lstrip' of 'str' objects}
     3061    0.003    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      705    0.003    0.000    0.005    0.000 functools.py:34(update_wrapper)
  724/690    0.003    0.000    0.019    0.000 inspect.py:2218(_signature_from_callable)
    19683    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
7114/7110    0.003    0.000    0.003    0.000 {method 'join' of 'str' objects}
     2061    0.003    0.000    0.005    0.000 inspect.py:2489(__init__)
      270    0.002    0.000    0.087    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      759    0.002    0.000    0.004    0.000 inspect.py:2772(__init__)
      612    0.002    0.000    0.003    0.000 _inspect.py:65(getargs)
      933    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
        2    0.002    0.001    0.006    0.003 decoder.py:343(raw_decode)
     2030    0.002    0.000    0.038    0.000 re.py:289(_compile)
      338    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap>:890(_find_spec)
     3061    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
     5716    0.002    0.000    0.003    0.000 sre_parse.py:164(__getitem__)
     2684    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     2416    0.002    0.000    0.006    0.000 enum.py:313(__call__)
     2387    0.002    0.000    0.036    0.000 inspect.py:606(getdoc)
      540    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:294(cache_from_source)
     4441    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
    10745    0.002    0.000    0.003    0.000 mathtext.py:2847(<genexpr>)
    17495    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
    347/6    0.002    0.000    0.439    0.073 <frozen importlib._bootstrap>:986(_find_and_load)
       25    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
       12    0.002    0.000    0.026    0.002 artist.py:1337(get_setters)
     1945    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0xacb7e0}
      673    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
      271    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:969(get_data)
       31    0.002    0.000    0.004    0.000 __init__.py:313(namedtuple)
     4660    0.002    0.000    0.002    0.000 {built-in method builtins.hasattr}
     1605    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
    325/7    0.002    0.000    0.438    0.063 <frozen importlib._bootstrap>:650(_load_unlocked)
      176    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
      286    0.001    0.000    0.006    0.000 overrides.py:72(verify_matching_signatures)
  316/315    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      673    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
      324    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:477(_init_module_attrs)
       26    0.001    0.000    0.509    0.020 __init__.py:1(<module>)
      425    0.001    0.000    0.025    0.000 artist.py:1290(get_valid_values)
      673    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
    31/26    0.001    0.000    0.006    0.000 {built-in method _imp.exec_dynamic}
      316    0.001    0.000    0.037    0.000 overrides.py:166(decorator)
    343/6    0.001    0.000    0.438    0.073 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
      370    0.001    0.000    0.003    0.000 colors.py:197(_to_rgba_no_colorcycle)
     3694    0.001    0.000    0.003    0.000 sre_parse.py:254(get)
      749    0.001    0.000    0.004    0.000 font_manager.py:962(_json_decode)
     1241    0.001    0.000    0.011    0.000 __init__.py:655(__setitem__)
  373/164    0.001    0.000    0.020    0.000 sre_parse.py:435(_parse_sub)
     3275    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
     1747    0.001    0.000    0.024    0.000 artist.py:1356(is_alias)
      882    0.001    0.000    0.004    0.000 {built-in method builtins.any}
     4152    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
       33    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.001    0.001    0.001    0.001 _cm_listed.py:1(<module>)
     1658    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       12    0.001    0.000    0.019    0.002 artist.py:1262(get_aliases)
      616    0.001    0.000    0.004    0.000 _inspect.py:96(getargspec)
    23/22    0.001    0.000    0.001    0.000 {built-in method _imp.create_builtin}
      718    0.001    0.000    0.002    0.000 inspect.py:493(unwrap)
       20    0.001    0.000    0.003    0.000 enum.py:157(__new__)
   347/90    0.001    0.000    0.323    0.004 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      164    0.001    0.000    0.035    0.000 sre_compile.py:759(compile)
   378/35    0.001    0.000    0.347    0.010 {built-in method builtins.__import__}
      133    0.001    0.000    0.001    0.000 posixpath.py:71(join)
