dt,mood
2018-10-14 20:20:13 UTC,5
2018-10-14 20:28:51 UTC,5
2018-10-15 04:04:21 UTC,3
2018-10-15 16:15:07 UTC,5
2018-10-15 17:35:56 UTC,6
2018-10-16 16:46:18 UTC,3
2018-10-17 16:05:03 UTC,4
2018-10-20 00:33:02 UTC,4
2018-10-20 09:00:00 UTC,2
2018-10-20 19:28:58 UTC,3
2018-10-21 15:55:30 UTC,4
2018-10-21 20:22:38 UTC,4
2018-10-23 00:59:33 UTC,5
2018-10-23 18:05:35 UTC,4
2018-10-24 16:32:27 UTC,4
2018-10-25 04:02:04 UTC,3
2018-10-25 19:24:19 UTC,4
2018-10-27 14:26:40 UTC,5
2018-10-29 17:32:46 UTC,4
2018-10-30 17:16:55 UTC,4
2018-10-31 18:42:03 UTC,3
2018-11-01 01:00:00 UTC,2
2018-11-01 16:50:46 UTC,3
2018-11-01 20:00:36 UTC,3
2018-11-02 01:00:00 UTC,5
2018-11-02 06:00:00 UTC,2
2018-11-02 17:39:03 UTC,4
2018-11-03 02:11:42 UTC,5
2018-11-05 17:27:13 UTC,4
2018-11-06 01:58:09 UTC,5
2018-11-06 03:58:02 UTC,5
2018-11-06 22:25:04 UTC,4
2018-11-07 00:45:56 UTC,3
