number,name,swaras_raw,swaras
1,Kanakāngi ,S R₁ G₁ M₁ P D₁ N₁ Ṡ ,S R1 G1 M1 P D1 N1 S' 
2,Ratnāngi ,S R₁ G₁ M₁ P D₁ N₂ Ṡ ,S R1 G1 M1 P D1 N2 S' 
3,Gānamūrti ,S R₁ G₁ M₁ P D₁ N₃ Ṡ ,S R1 G1 M1 P D1 N3 S' 
4,Vanaspati ,S R₁ G₁ M₁ P D₂ N₂ Ṡ ,S R1 G1 M1 P D2 N2 S' 
5,Mānavati ,S R₁ G₁ M₁ P D₂ N₃ Ṡ ,S R1 G1 M1 P D2 N3 S' 
6,Tānarūpi ,S R₁ G₁ M₁ P D₃ N₃ Ṡ ,S R1 G1 M1 P D3 N3 S' 
7,Senāvati ,S R₁ G₂ M₁ P D₁ N₁ Ṡ ,S R1 G2 M1 P D1 N1 S' 
8,Hanumatodi ,S R₁ G₂ M₁ P D₁ N₂ Ṡ ,S R1 G2 M1 P D1 N2 S' 
9,Dhenukā ,S R₁ G₂ M₁ P D₁ N₃ Ṡ ,S R1 G2 M1 P D1 N3 S' 
10,Nātakapriyā ,S R₁ G₂ M₁ P D₂ N₂ Ṡ ,S R1 G2 M1 P D2 N2 S' 
11,Kokilapriyā ,S R₁ G₂ M₁ P D₂ N₃ Ṡ ,S R1 G2 M1 P D2 N3 S' 
12,Rūpavati ,S R₁ G₂ M₁ P D₃ N₃ Ṡ ,S R1 G2 M1 P D3 N3 S' 
13,Gāyakapriyā ,S R₁ G₃ M₁ P D₁ N₁ Ṡ ,S R1 G3 M1 P D1 N1 S' 
14,Vakuḷābharaṇam ,S R₁ G₃ M₁ P D₁ N₂ Ṡ ,S R1 G3 M1 P D1 N2 S' 
15,Māyāmāḻavagouḻai ,S R₁ G₃ M₁ P D₁ N₃ Ṡ ,S R1 G3 M1 P D1 N3 S' 
16,Chakravākam ,S R₁ G₃ M₁ P D₂ N₂ Ṡ ,S R1 G3 M1 P D2 N2 S' 
17,Sūryakāntam ,S R₁ G₃ M₁ P D₂ N₃ Ṡ ,S R1 G3 M1 P D2 N3 S' 
18,Hātakāmbari ,S R₁ G₃ M₁ P D₃ N₃ Ṡ ,S R1 G3 M1 P D3 N3 S' 
