         26965268 function calls (26600257 primitive calls) in 56.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    292/1    0.014    0.000   56.907   56.907 {built-in method exec}
        1    0.136    0.136   56.907   56.907 ParkingSimulation.py:1(<module>)
       21    0.066    0.003   27.100    1.290 ParkingSimulation.py:187(plot)
     9072    0.040    0.000   24.215    0.003 __init__.py:1819(inner)
     7182    0.037    0.000   18.585    0.003 pyplot.py:3304(plot)
   247738    0.134    0.000   17.071    0.000 ParkingSimulation.py:236(seek_parking)
     7182    0.079    0.000   16.734    0.002 _axes.py:1264(plot)
   241029    0.389    0.000   16.475    0.000 ParkingSimulation.py:221(move_toward_destination)
   241029    0.273    0.000   16.007    0.000 ParkingSimulation.py:149(get_most_direct_segment)
   247738    0.182    0.000   15.515    0.000 ParkingSimulation.py:159(get_segments_adjacent_to_point)
   247738   15.333    0.000   15.333    0.000 ParkingSimulation.py:160(<listcomp>)
     9072    0.168    0.000   11.001    0.001 _base.py:2242(autoscale_view)
       20    0.000    0.000    9.871    0.494 pyplot.py:275(pause)
    61/41    0.001    0.000    9.607    0.234 backend_tkagg.py:350(draw)
    18144    0.698    0.000    8.830    0.000 _base.py:2276(handle_single_axis)
       61    0.001    0.000    8.684    0.142 backend_agg.py:453(draw)
 34382/61    0.105    0.000    8.670    0.142 artist.py:61(draw_wrapper)
       61    0.002    0.000    8.670    0.142 figure.py:1091(draw)
   121/61    0.036    0.000    8.621    0.141 image.py:120(_draw_list_compositing_images)
       60    0.002    0.000    8.618    0.144 _base.py:2346(draw)
     1890    0.019    0.000    7.520    0.004 pyplot.py:3416(scatter)
     1890    0.097    0.000    7.432    0.004 _axes.py:3801(scatter)
  307/217    1.021    0.003    5.596    0.026 {method 'call' of 'tkapp' objects}
     7182    0.079    0.000    5.279    0.001 _base.py:1782(add_line)
       41    0.000    0.000    5.224    0.127 __init__.py:1482(__call__)
       40    0.000    0.000    5.194    0.130 __init__.py:530(callit)
       40    0.000    0.000    5.193    0.130 backend_tkagg.py:368(idle_draw)
    21120    0.492    0.000    4.591    0.000 lines.py:769(draw)
    11358    0.370    0.000    4.136    0.000 lines.py:297(__init__)
     9810    0.110    0.000    3.462    0.000 artist.py:667(set_clip_path)
    14364    0.022    0.000    3.238    0.000 _base.py:399(_grab_next_args)
     7182    0.110    0.000    3.214    0.000 _base.py:354(_plot_args)
       20    0.000    0.000    2.897    0.145 backend_tkagg.py:513(start_event_loop)
       20    0.001    0.000    2.897    0.145 backend_bases.py:2434(start_event_loop_default)
    36288    0.319    0.000    2.824    0.000 numeric.py:2463(isclose)
       21    0.000    0.000    2.718    0.129 __init__.py:961(update)
1392/1064    0.035    0.000    2.713    0.003 axis.py:67(__init__)
       20    0.000    0.000    2.679    0.134 backend_tkagg.py:510(flush_events)
    10291    0.035    0.000    2.669    0.000 patches.py:216(get_transform)
    50652    0.299    0.000    2.654    0.000 markers.py:199(_recache)
