1819;;318;;194;;b
798;;1562;;1061;;b
398;;1930;;1629;;a
1416;;486;;744;;a
794;;645;;1130;;b
816;;201;;1263;;a
1726;;742;;410;;b
772;;921;;79;;a
277;;797;;1735;;b
1307;;1366;;1225;;a
159;;34;;703;;b
876;;444;;1734;;a
1482;;555;;1637;;a
1663;;1390;;1726;;a
1493;;318;;118;;b
1180;;1476;;1555;;a
357;;1333;;813;;b
1517;;761;;329;;b
1006;;1542;;1031;;b
1200;;1381;;183;;a
1070;;1869;;1033;;b
941;;923;;1995;;a
61;;520;;936;;b
1905;;26;;275;;b
1937;;1084;;1764;;a
1469;;298;;512;;a
83;;1605;;545;;a
1353;;748;;216;;a
359;;51;;257;;a
434;;1658;;325;;a
404;;1287;;434;;b
1763;;317;;553;;a
1610;;1057;;504;;a
1096;;1189;;1210;;a
888;;848;;991;;b
600;;1783;;188;;b
826;;1181;;1734;;a
1591;;248;;1551;;b
435;;1710;;1637;;b
780;;1256;;656;;a
1969;;1727;;1765;;b
1857;;5;;1072;;b
1546;;1415;;1158;;a
709;;1276;;1229;;b
424;;332;;160;;b
1892;;167;;813;;b
357;;1815;;1381;;b
1824;;975;;1983;;a
721;;603;;1813;;a
1913;;1859;;752;;a
998;;244;;1959;;b
1236;;29;;1652;;b
421;;1053;;770;;a
770;;1174;;1846;;b
52;;667;;626;;a
185;;596;;1440;;a
307;;838;;301;;b
1367;;526;;254;;a
1767;;726;;689;;a
1308;;1155;;265;;a
1867;;309;;1793;;a
1127;;1990;;973;;b
1761;;304;;1269;;a
1961;;1339;;282;;a
1696;;626;;1290;;b
1534;;138;;71;;a
782;;896;;1451;;a
554;;852;;817;;b
877;;304;;824;;a
1877;;34;;442;;b
1984;;252;;555;;b
669;;509;;1531;;b
1337;;1231;;1059;;a
576;;1140;;79;;b
1353;;1545;;654;;a
446;;236;;589;;a
109;;1997;;1487;;b
280;;531;;522;;a
1775;;1472;;1786;;b
805;;303;;1209;;b
1824;;1968;;676;;a
609;;1379;;978;;a
1174;;663;;1735;;b
410;;997;;136;;a
778;;1;;1569;;b
1859;;32;;1422;;a
910;;1359;;662;;b
1330;;1478;;517;;a
1142;;735;;358;;b
639;;386;;711;;a
490;;725;;1500;;b
68;;83;;1234;;b
410;;1915;;1694;;a
932;;212;;395;;b
1647;;1630;;1906;;b
1115;;833;;1025;;b
1970;;206;;374;;a
1446;;950;;1202;;a
1815;;1598;;1153;;b
846;;1469;;1865;;a
1619;;1584;;1419;;a
1292;;385;;1844;;b
474;;398;;83;;a
67;;1471;;1948;;a
1522;;1956;;549;;a
1191;;1334;;1275;;a
1881;;1132;;1461;;a
1117;;156;;1839;;a
124;;1098;;1960;;a
1685;;1904;;740;;a
852;;1006;;1213;;a
1031;;1563;;54;;b
476;;1720;;1249;;a
462;;740;;1648;;b
1454;;453;;1666;;b
167;;393;;998;;b
656;;107;;1861;;b
576;;1495;;1782;;b
1975;;1700;;1625;;a
192;;678;;341;;b
942;;1652;;808;;a
1795;;1264;;94;;a
1243;;1124;;1479;;a
1775;;774;;1406;;a
599;;572;;1184;;b
1921;;323;;1546;;b
1843;;7;;597;;a
1261;;1512;;1745;;a
455;;1476;;1055;;b
411;;774;;622;;b
1929;;24;;1411;;a
1446;;641;;577;;a
609;;547;;1802;;b
1222;;1304;;1183;;a
123;;1848;;1230;;a
1241;;73;;1935;;a
1528;;644;;76;;b
1811;;1773;;1141;;a
1327;;1684;;988;;b
1485;;218;;188;;a
237;;26;;12;;b
1873;;163;;974;;b
694;;1109;;1401;;b
1331;;877;;880;;a
180;;93;;1064;;b
543;;86;;344;;a
1416;;198;;278;;a
783;;1839;;923;;a
657;;1165;;1937;;b
1654;;331;;338;;b
583;;427;;203;;a
1518;;1002;;1226;;a
1843;;1633;;1070;;a
581;;797;;1022;;a
1304;;1070;;1708;;a
726;;1649;;1954;;a
42;;1558;;1518;;a
666;;1132;;1419;;a
952;;629;;1585;;a
1219;;1338;;471;;a
638;;155;;510;;a
332;;474;;272;;b
1796;;1583;;414;;b
1431;;40;;129;;b
450;;514;;1623;;b
