Timestamp,Where are you from? (please be specific),Where do you live now? (please be specific),Which temperature scale do you use?,What is the lowest temperature outside that you are comfortable at?,What is the highest temperature outside that you are comfortable at?,"If it could always be the same temperature outside, what would you want it to be?",lowF,highF,optimumF,lowC,highC,optimumC,rangeF,opt01,koppen_codes,data_mistake,user_typo,dup
12/14/2018 21:10:27,"Little Rock, AR","Chicago, IL",Fahrenheit,70,100,85,70,100,85,21.11111111,37.77777778,29.44444444,30,0.5,,,,
12/14/2018 21:46:48,germany,germany,Celsius,5,25,18,41,77,64.4,5,25,18,36,0.65,,,,
12/14/2018 21:51:42,Oklahoma,New Jersey,Fahrenheit,40,90,70,40,90,70,4.444444444,32.22222222,21.11111111,50,0.6,,,,
12/14/2018 21:56:47,Finland,Finland,Celsius,-17,28,23,1.4,82.4,73.4,-17,28,23,81,0.8888888889,,,,
12/14/2018 21:59:58,Germany ,Germany ,Celsius,-8,20,-1,17.6,68,30.2,-8,20,-1,50.4,0.25,,,,
12/14/2018 22:00:53,France,South of France,Celsius,-5,20,10,23,68,50,-5,20,10,45,0.6,,,,
12/14/2018 22:01:39,South Korea,"MD, USA",Fahrenheit,60,110,85,60,110,85,15.55555556,43.33333333,29.44444444,50,0.5,,,,
12/14/2018 22:06:45,Poland ,Poland,Celsius,10,25,22,50,77,71.6,10,25,22,27,0.8,,,,
12/14/2018 22:07:46,Spain,Spain,Celsius,0,30,20,32,86,68,0,30,20,54,0.6666666667,,,,
12/14/2018 22:08:25,New Jersey,Washington DC ,Fahrenheit,60,90,82,60,90,82,15.55555556,32.22222222,27.77777778,30,0.7333333333,,,,
12/14/2018 22:09:44,Michigan ,Michigan ,Fahrenheit,30,85,65,30,85,65,-1.111111111,29.44444444,18.33333333,55,0.6363636364,,,,
12/14/2018 22:10:05,"Salt Lake City, Utah","Washington, DC",Fahrenheit,50,77,68,50,77,68,10,25,20,27,0.6666666667,,,,
12/14/2018 22:11:09,"Charlotte, NC, USA","Charlotte, NC, USA",Fahrenheit,65,80,70,65,80,70,18.33333333,26.66666667,21.11111111,15,0.3333333333,,,,
12/14/2018 22:14:53,Netherlands,Netherlands,Celsius,10,22,18,50,71.6,64.4,10,22,18,21.6,0.6666666667,,,,
12/14/2018 22:17:03,Ireland,Ireland,Celsius,14,23,20,57.2,73.4,68,14,23,20,16.2,0.6666666667,,,,
12/14/2018 22:18:41,México ,México ,Celsius,8,28,13,46.4,82.4,55.4,8,28,13,36,0.25,,,,
12/14/2018 22:19:34,Uk,Uk,Celsius,-5,35,27,23,95,80.6,-5,35,27,72,0.8,,,,
12/14/2018 22:21:01,Indiana,Indiana,Fahrenheit,45,80,75,45,80,75,7.222222222,26.66666667,23.88888889,35,0.8571428571,,,,
12/14/2018 22:21:10,Michigan ,Connecticut ,Fahrenheit,50,80,72,50,80,72,10,26.66666667,22.22222222,30,0.7333333333,,,,
12/14/2018 22:21:20,Wisconsin,D.C.,Fahrenheit,40,70,55,40,70,55,4.444444444,21.11111111,12.77777778,30,0.5,,,,
12/14/2018 22:25:29,United States,United States,Fahrenheit,30,72,60,30,72,60,-1.111111111,22.22222222,15.55555556,42,0.7142857143,,,,
12/14/2018 22:26:24,Germany,Germany,Celsius,-5,25,20,23,77,68,-5,25,20,54,0.8333333333,,,,
12/14/2018 22:27:10,United States ,United States,Fahrenheit,40,75,63,40,75,63,4.444444444,23.88888889,17.22222222,35,0.6571428571,,,,
12/14/2018 22:27:19,Canada,USA,Fahrenheit,50,80,70,50,80,70,10,26.66666667,21.11111111,30,0.6666666667,,,,
12/14/2018 22:30:55,California ,California ,Fahrenheit,50,110,85,50,110,85,10,43.33333333,29.44444444,60,0.5833333333,,,,
12/14/2018 22:31:27,ohio,washington,Fahrenheit,60,80,70,60,80,70,15.55555556,26.66666667,21.11111111,20,0.5,,,,
12/14/2018 22:31:55,United Kingdom,United Kingdom,Celsius,22,30,27,71.6,86,80.6,22,30,27,14.4,0.625,,,,
12/14/2018 22:32:28,United States,United States,Fahrenheit,55,90,65,55,90,65,12.77777778,32.22222222,18.33333333,35,0.2857142857,,,,
12/14/2018 22:32:45,Buffalo,Columbus ,Fahrenheit,32,80,65,32,80,65,0,26.66666667,18.33333333,48,0.6875,,,,
12/14/2018 22:34:19,PNW,PNW,Fahrenheit,40,68,64,40,68,64,4.444444444,20,17.77777778,28,0.8571428571,,,,
12/14/2018 22:35:05,New Jersey,California,Fahrenheit,50,75,70,50,75,70,10,23.88888889,21.11111111,25,0.8,,,,
12/14/2018 22:35:34,"Indiana, USA","Cleveland, OH",Fahrenheit,50,84,68,50,84,68,10,28.88888889,20,34,0.5294117647,,,,
12/14/2018 22:35:35,Germany,Germany,Celsius,18,33,27,64.4,91.4,80.6,18,33,27,27,0.6,,,,
12/14/2018 22:35:37,Western New York,Western New York,Fahrenheit,25,75,55,25,75,55,-3.888888889,23.88888889,12.77777778,50,0.6,,,,
12/14/2018 22:35:53,Poland,Poland,Celsius,-15,20,-5,5,68,23,-15,20,-5,63,0.2857142857,,,,
12/14/2018 22:36:29,New York,Florida,Fahrenheit,70,85,80,70,85,80,21.11111111,29.44444444,26.66666667,15,0.6666666667,,,,
